record_id,line_number,transcript_length,summary_length,compression_ratio,word_count_transcript,word_count_summary,name,location,issue,category,priority,has_missing_fields,has_transcript_issues,has_summary_issues,has_consistency_issues,victim_info,perpetrator_info,referral_info,intervention_info,transcript_preview,summary_preview
line_2,2,612,265,0.43300653594771243,106,42,Daniel,Kisumu,Forced child labor,Child Labor,High,False,False,False,True,13-year-old sister,Local factory owners,"[""Nairobi Children's Office, Relevant labor authorities""]",Report to Nairobi Children's Office and relevant labor authorities,"Hello, is this the Nairobi Children's Helpline? Yes, thanks for getting in touch. My name's Daniel from Kisumu. I have a concern about my younger sister, she's 13 and she's been forced into child labo",Daniel from Kisumu reported his 13-year-old sister has been forced into child labor at a local factory for over a month. The helpline counselor advised reporting the issue to the Nairobi Children's Of
line_3,3,623,348,0.5585874799357945,120,59,Daniel,Mombasa,Child labor,Labor exploitation,High,False,False,False,False,Sammy (14 years old),Unknown (employer at a local factory),"['Mombasa Labor Commission, Police']",Reporting to authorities and follow-ups,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name is Daniel, I'm from Mombasa. I have a problem and I need help. A friend of mine, let's call him Sammy, who is just 14 year","Daniel reported a case of child labor involving his friend Sammy, who is 14 years old and works at a local factory. The caller has witnessed signs of physical abuse and believes that others are also a"
line_4,4,603,238,0.3946932006633499,108,40,Jane,Kisumu,Child labor,Child exploitation,High,False,False,False,True,12-year-old brother,Unspecified local workshop owner or workers,Kisumu Child Protection Unit and police,"Report to authorities, follow-up","Hello, is this the Childline helpline? Yes, good day. This is Jane speaking from Kisumu. I'm seeking help because my younger brother, who is only 12, has been forced into child labor at a local worksh",Jane from Kisumu reported a case of child labor involving her younger brother. The issue is urgent due to visible signs of abuse and fear of retaliation. Referral is made to local Child Protection Uni
line_5,5,685,176,0.2569343065693431,127,28,John,Narok,Child Labor,Work Exploitation,High,False,False,False,False,13-year-old sister,Unnamed factory owners,"[""Kisumu Children's Office"", 'local police']","Investigation, rescue, rehabilitation and reintegration of the victim, legal action against perpetrators","Hello, is this the Kisumu Children's Helpline? Yes, thank you for reaching out. My name is John from Narok. I need help  my sister, who is only 13 years old, has been forced into child labor at a loca","John from Narok reported a case of child labor involving his 13-year-old sister. The children's office and police were advised to be notified, with follow-up from the helpline."
line_6,6,606,264,0.43564356435643564,107,43,John,Mwanza,Forced child marriage,Child protection,Urgent,False,False,False,False,12-year-old niece,Family members,"[""Mwanza Children's Office"", 'police']",Report to the authorities and seek further assistance,"Hello, is this the child protection hotline? Yes, thank you for reaching out. Who am I speaking to? My name's John, from Mwanza. I've got a serious concern about my niece, she's just 12 years old. She","John reported a case of child marriage involving his niece. He shared that family members are forcing her into marriage, and others choose to ignore it. The counselor advised him to report it to the l"
line_7,7,594,285,0.4797979797979798,101,45,Sam,Busia,Child marriage and emotional abuse,"Child marriage, Emotional abuse",High (urgent intervention needed),False,False,False,True,14-year-old sister,husband,"Busia Children's Office, Police",Follow-up calls with the caller,"Hi, is this the Children's Emergency Hotline? Yes, thank you for reaching out. I'm Sam from Busia. There's an urgent matter I need to report. My 14-year-old sister has been forced into child marriage ","Sam reported a case of child marriage and emotional abuse of his 14-year-old sister in Busia. He mentioned that no one else has noticed, but she looks traumatized. The helpline operator advised immedi"
line_8,8,577,270,0.4679376083188908,107,44,Sam,Mwanza,Child labor,Labor exploitation,High,False,False,False,True,7-year-old sister,Local factory,Mwanza Child Welfare Services and police,Immediate reporting to authorities followed by follow-up,"Hi there, is this the Child Protection Helpline? Yes, hello. I'm Sam from Mwanza. I have a concern about my little sister. She's only 7, and she's being forced into child labor at a local factory. Thi",Sam reported a case of child labor involving his 7-year-old sister in Mwanza. The perpetrator is unspecified but believed to be connected to a local factory. The counselor advised immediate reporting 
line_9,9,661,229,0.3464447806354009,119,36,James,"Kisumu, Kenya",Emotional abuse,Child Protection,High,False,False,False,True,12-year-old girl,Mother,"[""Kisumu Children's Office"", 'Local police']",Report to authorities and follow-up with Childline,"Hello, is this the Childline? Yes, thank you for reaching out. This is James speaking from Kisumu. I need help  my neighbor's daughter, around 12 years old, is being emotionally abused by her mother. ","A concerned neighbor reported emotional abuse of a 12-year-old girl by her mother. The child appears scared and withdrawn. Advised the caller to report the issue to the Children's Office and police, w"
line_10,10,614,282,0.4592833876221498,110,47,John,Kisumu,Forced child marriage,Child protection,High,False,False,False,False,14-year-old daughter of a neighbor,Not specified,"['Kisumu Child Protection Unit', 'local police']",Report to authorities and follow-up by helpline,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name is John, I'm from Kisumu. I need help  my neighbor's daughter, who is only 14 years old, is being forced into child marria","John from Kisumu reported a case of forced child marriage involving a 14-year-old girl. The victim seems terrified and withdrawn, and no one else has noticed the issue. The priority is to report it im"
line_11,11,640,337,0.5265625,117,56,Joseph,"Kisumu, Kenya",Child Labor,Labor Exploitation,Urgent & Dangerous,False,False,False,True,Niece (5 years old),Local factory management,Kisumu Children's Office and labor inspectorate,"Report to children office, labor inspectorate and follow-up by helpline","Hi, is this 116? Yes, thank you for reaching out. Who am I talking to? My name is Joseph from Kisumu. I need help  my niece, who's only 5 years old, has been forced into child labor at a local factory","Joseph from Kisumu reported a case of child labor involving his niece, aged 5. He mentioned that witnesses exist but are afraid to speak out. The situation seems urgent and dangerous as the child appe"
line_12,12,613,309,0.5040783034257749,111,47,Sam,Mwanza,Forced child marriage,Child protection issue,High urgency,False,False,False,True,13-year-old niece,Unspecified family members,"Mwanza Children's Office, police",Report to local authorities and follow-up,"Hello, is this 116? Yes, thank you for calling. Who am I speaking to? My name's Sam from Mwanza. There's something serious going on with my niece. She's just 13 and she's being forced into child marri","Sam reported a case of child marriage involving his 13-year-old niece in Mwanza. The girl is experiencing physical and emotional pain, with some family members aware but afraid to intervene. The couns"
line_13,13,620,372,0.6,113,61,James,Kisumu,Child labor,Child exploitation,Urgent,False,False,False,True,12-year-old girl,Not specified,"[""Kisumu Children's Office"", 'Police']",Report to the appropriate authorities,"Hello, is this the children's helpline? Yes, thank you for reaching out. This is James speaking from Kisumu. I need help, my neighbor's child, a 12-year-old girl, has been forced into child labor at a","James reported a case of child labor involving a 12-year-old girl in Kisumu. The child works long hours at a local market and comes home with bruises. The perpetrator is not specified, but a few peopl"
