description,category,person_names,dates,topics,effects,anatomical_terms
Summary: Infliction or failure to prevent physical harm to a child. Child reported by Joshua Garcia Incident occurred on 23 July 2022 Topics involved include child marriage Effects reported: trauma.,Physical abuse/violence,Joshua Garcia,23 July 2022,child marriage,trauma,
"Narrative: Marriage or cohabitation with a child. Child reported by Bryan Monroe Incident occurred on 22 October 2024, 14 July 2020 Topics involved include Female Genital Mutilation, child labor Affected parts: labia majora.",Child marriage,Bryan Monroe,22 October 2024; 14 July 2020,Female Genital Mutilation; child labor,,labia majora
"Reported incident: Sexual acts between close relatives. Child reported by Alexandra Olson Incident occurred on 22 July 2023 Topics involved include child labor, Female Genital Mutilation.",Incest,Alexandra Olson,22 July 2023,child labor; Female Genital Mutilation,,
"Summary: An attempt to penetrate a child. Child reported by Andrew Miles Incident occurred on 26 March 2025, 23 July 2021 Topics involved include harmful cultural practices, online child abuse Effects reported: anxiety Affected parts: labia minora.",Attempted Defilement,Andrew Miles,26 March 2025; 23 July 2021,harmful cultural practices; online child abuse,anxiety,labia minora
"Summary: Sexual acts between close relatives. Child reported by Alejandra Barron, Andrew Gonzalez Incident occurred on 03 February 2023 Topics involved include drug and substance abuse.",Incest,Alejandra Barron; Andrew Gonzalez,03 February 2023,drug and substance abuse,,
"Case overview: An attempt to penetrate a child. Child reported by Danielle Martin, Joseph Logan Incident occurred on 18 September 2021 Topics involved include Female Genital Mutilation Effects reported: psychological problems, HIV Affected parts: genitals.",Attempted Defilement,Danielle Martin; Joseph Logan,18 September 2021,Female Genital Mutilation,psychological problems; HIV,genitals
"Reported incident: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Sarah Baker, Morgan Stone Incident occurred on 22 November 2020, 11 December 2021 Topics involved include Female Genital Mutilation, emotional abuse Effects reported: psychological problems Affected parts: clitoris.",Abandoned,Sarah Baker; Morgan Stone,22 November 2020; 11 December 2021,Female Genital Mutilation; emotional abuse,psychological problems,clitoris
"Reported incident: An attempt to penetrate a child. Child reported by Robert Matthews Incident occurred on 21 November 2022, 05 August 2023 Effects reported: psychological problems, HIV.",Attempted Defilement,Robert Matthews,21 November 2022; 05 August 2023,,psychological problems; HIV,
"Case overview: Marriage or cohabitation with a child. Child reported by Connie Wilson Incident occurred on 09 April 2021 Effects reported: high rate of bleeding, psychological problems.",Child marriage,Connie Wilson,09 April 2021,,high rate of bleeding; psychological problems,
"Case overview: Acts harming a child's emotional development. Child reported by Brianna Mccoy, Mikayla Smith Incident occurred on 19 April 2022, 21 May 2020 Topics involved include Female Genital Mutilation, child labor Affected parts: genitals.",Emotional abuse,Brianna Mccoy; Mikayla Smith,19 April 2022; 21 May 2020,Female Genital Mutilation; child labor,,genitals
